,filename,emotion,gender,age
173,face0174.jpg,neutral,Man,28
174,face0175.jpg,sad,Man,28
175,face0176.jpg,fear,Man,26
176,face0177.jpg,sad,Man,26
177,face0178.jpg,neutral,Man,30
178,face0179.jpg,neutral,Man,29
179,face0180.jpg,neutral,Man,29
180,face0181.jpg,neutral,Man,29
181,face0182.jpg,neutral,Man,29
182,face0183.jpg,sad,Man,26
183,face0184.jpg,surprise,Man,26
184,face0185.jpg,sad,Man,25
185,face0186.jpg,sad,Man,28
186,face0187.jpg,neutral,Man,29
187,face0188.jpg,happy,Man,27
188,face0189.jpg,fear,Man,27
189,face0190.jpg,neutral,Man,29
190,face0191.jpg,sad,Man,26
191,face0192.jpg,sad,Man,30
192,face0193.jpg,neutral,Man,26
193,face0194.jpg,sad,Man,27
194,face0195.jpg,neutral,Man,26
195,face0196.jpg,sad,Man,26
196,face0197.jpg,neutral,Man,29
197,face0198.jpg,sad,Man,26
198,face0199.jpg,neutral,Man,26
199,face0200.jpg,neutral,Man,27
200,face0201.jpg,neutral,Man,27
201,face0202.jpg,neutral,Woman,35
202,face0203.jpg,neutral,Man,30
203,face0204.jpg,neutral,Man,27
204,face0205.jpg,fear,Man,31
205,face0206.jpg,neutral,Man,32
206,face0207.jpg,happy,Man,31
207,face0208.jpg,neutral,Woman,26
208,face0209.jpg,fear,Man,32
209,face0210.jpg,fear,Man,28
210,face0211.jpg,neutral,Man,30
211,face0212.jpg,neutral,Man,30
212,face0213.jpg,sad,Man,28
213,face0214.jpg,fear,Man,29
214,face0215.jpg,neutral,Man,36
215,face0216.jpg,neutral,Man,34
216,face0217.jpg,sad,Man,30
217,face0218.jpg,fear,Man,31
218,face0219.jpg,neutral,Man,29
219,face0220.jpg,fear,Man,37
220,face0221.jpg,fear,Man,29
221,face0222.jpg,sad,Man,23
222,face0223.jpg,neutral,Woman,29
223,face0224.jpg,neutral,Man,29
224,face0225.jpg,fear,Man,29
225,face0226.jpg,happy,Man,29
226,face0227.jpg,sad,Man,27
227,face0228.jpg,neutral,Man,33
228,face0229.jpg,sad,Man,30
229,face0230.jpg,fear,Man,29
230,face0231.jpg,happy,Man,33
231,face0232.jpg,neutral,Man,27
232,face0233.jpg,neutral,Man,31
233,face0234.jpg,neutral,Man,30
234,face0235.jpg,angry,Man,31
235,face0236.jpg,neutral,Man,30
236,face0237.jpg,sad,Man,33
237,face0238.jpg,neutral,Man,28
238,face0239.jpg,fear,Man,32
239,face0240.jpg,fear,Man,31
240,face0241.jpg,neutral,Man,31
241,face0242.jpg,neutral,Man,27
242,face0243.jpg,fear,Man,39
243,face0244.jpg,happy,Man,28
244,face0245.jpg,neutral,Man,32
245,face0246.jpg,sad,Man,32
246,face0247.jpg,fear,Man,30
247,face0248.jpg,sad,Man,29
248,face0249.jpg,sad,Man,28
249,face0250.jpg,neutral,Man,28
250,face0251.jpg,neutral,Man,27
251,face0252.jpg,neutral,Man,28
252,face0253.jpg,fear,Man,27
253,face0254.jpg,neutral,Man,29
254,face0255.jpg,neutral,Man,29
255,face0256.jpg,neutral,Man,27
256,face0257.jpg,neutral,Man,26
257,face0258.jpg,neutral,Man,26
258,face0259.jpg,sad,Man,26
259,face0260.jpg,sad,Man,28
260,face0261.jpg,sad,Man,32
261,face0262.jpg,sad,Man,26
262,face0263.jpg,angry,Man,26
263,face0264.jpg,neutral,Man,27
264,face0265.jpg,neutral,Man,26
265,face0266.jpg,sad,Man,30
266,face0267.jpg,fear,Man,26
267,face0268.jpg,happy,Man,28
268,face0269.jpg,neutral,Man,26
269,face0270.jpg,sad,Man,36
270,face0271.jpg,neutral,Man,31
271,face0272.jpg,happy,Man,27
272,face0273.jpg,angry,Man,29
273,face0274.jpg,neutral,Man,28
274,face0275.jpg,angry,Man,27
275,face0276.jpg,angry,Man,32
276,face0277.jpg,neutral,Man,30
277,face0278.jpg,neutral,Man,26
278,face0279.jpg,fear,Man,31
279,face0280.jpg,sad,Man,28
280,face0281.jpg,neutral,Man,31
281,face0282.jpg,neutral,Man,31
282,face0283.jpg,angry,Man,28
283,face0284.jpg,sad,Man,23
284,face0285.jpg,neutral,Man,31
285,face0286.jpg,happy,Man,26
286,face0287.jpg,angry,Man,34
287,face0288.jpg,neutral,Man,29
288,face0289.jpg,neutral,Man,26
289,face0290.jpg,neutral,Man,30
290,face0291.jpg,neutral,Man,26
291,face0292.jpg,neutral,Man,28
292,face0293.jpg,neutral,Man,29
293,face0294.jpg,neutral,Woman,31
294,face0295.jpg,fear,Man,30
295,face0296.jpg,fear,Man,29
296,face0297.jpg,neutral,Man,28
297,face0298.jpg,neutral,Man,25
298,face0299.jpg,fear,Man,28
299,face0300.jpg,happy,Man,30
300,face0301.jpg,neutral,Man,30
301,face0302.jpg,sad,Man,30
302,face0303.jpg,angry,Man,28
303,face0304.jpg,neutral,Woman,29
304,face0305.jpg,neutral,Man,30
305,face0306.jpg,neutral,Man,30
306,face0307.jpg,neutral,Man,24
307,face0308.jpg,sad,Man,27
308,face0309.jpg,sad,Man,31
309,face0310.jpg,fear,Man,30
310,face0311.jpg,neutral,Man,32
311,face0312.jpg,neutral,Man,29
312,face0313.jpg,neutral,Man,26
313,face0314.jpg,sad,Man,27
314,face0315.jpg,neutral,Man,31
315,face0316.jpg,neutral,Man,32
316,face0317.jpg,neutral,Man,24
317,face0318.jpg,neutral,Man,29
318,face0319.jpg,neutral,Man,29
319,face0320.jpg,fear,Man,33
320,face0321.jpg,neutral,Man,32
321,face0322.jpg,sad,Man,24
322,face0323.jpg,neutral,Man,31
323,face0324.jpg,sad,Man,30
324,face0325.jpg,happy,Man,28
325,face0326.jpg,neutral,Man,30
326,face0327.jpg,neutral,Man,28
327,face0328.jpg,fear,Man,30
328,face0329.jpg,neutral,Man,26
329,face0330.jpg,neutral,Man,30
330,face0331.jpg,neutral,Man,27
331,face0332.jpg,angry,Man,29
332,face0333.jpg,fear,Man,26
333,face0334.jpg,sad,Man,24
334,face0335.jpg,neutral,Man,24
